Experiment 1:
--------------------QuadProbeHashTable add() with a bad hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
200000	4300E-1	|	2442E-2		2150E-6		1221E-7		3196E-10		6709E-10

Experiment 3:
--------------------BadHashFunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	4060E-1	|	3055E-2		4060E-5		3055E-6		4060E-9		-5582E-10
20000	6700E-2	|	4689E-3		3350E-6		2345E-7		1675E-10		-4396E-11
30000	5500E-2	|	3698E-3		1833E-6		1233E-7		6111E-11		2996E-11
40000	3900E-2	|	2551E-3		9750E-7		6378E-8		2438E-11		5633E-11
50000	8600E-2	|	5509E-3		1720E-6		1102E-7		-4791E-11		-1181E-10
60000	8200E-2	|	5166E-3		1367E-6		8610E-8		-1180E-10		4556E-11
70000	3900E-2	|	2423E-3		5571E-7		3462E-8		6446E-11		-1018E-10
80000	7400E-2	|	4543E-3		9250E-7		5679E-8		3515E-11		5950E-11
90000	4700E-2	|	2856E-3		5222E-7		3173E-8		-9593E-11		-2375E-11
100000	5100E-2	|	3071E-3		5100E-7		3071E-8		3617E-11		-3332E-11
110000	8200E-2	|	4896E-3		7455E-7		4451E-8		-1045E-10		-4619E-11
120000	5900E-2	|	3497E-3		4917E-7		2914E-8		3894E-11		3900E-11
130000	8600E-2	|	5062E-3		6615E-7		3894E-8		-3073E-10		-2638E-10
140000	5500E-2	|	3217E-3		3929E-7		2298E-8		-2934E-11		4475E-11
150000	4300E-2	|	2501E-3		2867E-7		1667E-8		4194E-11		2371E-11
160000	9000E-2	|	5206E-3		5625E-7		3254E-8		-5300E-10		6623E-11
170000	3100E-2	|	1784E-3		1824E-7		1050E-8		-2661E-11		-1512E-10
180000	7500E-2	|	4296E-3		4167E-7		2387E-8		-3827E-11		5565E-11
190000	9800E-2	|	5589E-3		5158E-7		2941E-8		5631E-11		5929E-11
200000	7100E-2	|	4032E-3		3550E-7		2016E-8		5278E-11		1108E-10
--------------------MediocreHashFunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	3094E0	|	2328E-1		3094E-4		2328E-5		3094E-8		-4254E-9
20000	5668E0	|	3967E-1		2834E-4		1984E-5		1417E-8		-3719E-9
30000	9004E0	|	6054E-1		3001E-4		2018E-5		1000E-8		4905E-9
40000	1162E1	|	7599E-1		2904E-4		1900E-5		7261E-9		1678E-8
50000	1464E1	|	9377E-1		2927E-4		1875E-5		-8154E-9		-2010E-8
60000	1845E1	|	1163E0		3076E-4		1938E-5		-2655E-8		1025E-8
70000	2059E1	|	1279E0		2941E-4		1827E-5		3402E-8		-5372E-8
80000	2312E1	|	1419E0		2889E-4		1774E-5		1098E-8		1859E-8
90000	2617E1	|	1590E0		2908E-4		1767E-5		-5341E-8		-1322E-8
100000	3052E1	|	1837E0		3052E-4		1837E-5		2164E-8		-1994E-8
110000	3321E1	|	1983E0		3019E-4		1803E-5		-4231E-8		-1871E-8
120000	3573E1	|	2118E0		2977E-4		1765E-5		2358E-8		2362E-8
130000	3890E1	|	2290E0		2992E-4		1761E-5		-1390E-7		-1193E-7
140000	4145E1	|	2425E0		2961E-4		1732E-5		-2211E-8		3372E-8
150000	4783E1	|	2782E0		3189E-4		1854E-5		4665E-8		2637E-8
160000	4817E1	|	2786E0		3011E-4		1742E-5		-2837E-7		3545E-8
170000	4951E1	|	2849E0		2912E-4		1676E-5		-4250E-8		-2415E-7
180000	5437E1	|	3114E0		3020E-4		1730E-5		-2774E-8		4034E-8
190000	5627E1	|	3209E0		2961E-4		1689E-5		3233E-8		3404E-8
200000	5861E1	|	3328E0		2931E-4		1664E-5		4357E-8		9145E-8
--------------------GoodHashFunctor--------------------
